"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0002181","cytoplasmic translation",82,80,81.5,"8.1e-07"
"2","GO:0043524","negative regulation of neuron apoptotic process",119,115,118.27,"2.2e-06"
"3","GO:0006783","heme biosynthetic process",21,17,20.87,"7.7e-06"
"4","GO:0045087","innate immune response",528,525,524.75,"1.9e-05"
"5","GO:0048821","erythrocyte development",39,34,38.76,"3.3e-05"
"6","GO:0042742","defense response to bacterium",170,169,168.95,"3.6e-05"
"7","GO:0042744","hydrogen peroxide catabolic process",19,17,18.88,"4.5e-05"
"8","GO:0000423","mitophagy",25,24,24.85,"9.5e-05"
"9","GO:0006910","phagocytosis, recognition",30,30,29.82,"0.00021"
"10","GO:0071481","cellular response to X-ray",7,7,6.96,"0.00023"
"11","GO:0098780","response to mitochondrial depolarisation",22,21,21.86,"0.00030"
"12","GO:0008150","biological_process",12510,12433,12433.03,"0.00034"
"13","GO:1904851","positive regulation of establishment of protein localization to telomere",10,10,9.94,"0.00035"
"14","GO:0045944","positive regulation of transcription by RNA polymerase II",865,860,859.68,"0.00036"
"15","GO:0017145","stem cell division",42,42,41.74,"0.00037"
"16","GO:0006414","translational elongation",42,41,41.74,"0.00037"
"17","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",16,16,15.9,"0.00038"
"18","GO:0050766","positive regulation of phagocytosis",65,65,64.6,"0.00043"
"19","GO:0016525","negative regulation of angiogenesis",86,85,85.47,"0.00050"
"20","GO:0000027","ribosomal large subunit assembly",27,27,26.83,"0.00052"
"21","GO:0034341","response to interferon-gamma",104,103,103.36,"0.00065"
"22","GO:0001798","positive regulation of type IIa hypersensitivity",6,6,5.96,"0.00092"
"23","GO:0002377","immunoglobulin production",128,127,127.21,"0.00102"
"24","GO:0030183","B cell differentiation",111,111,110.32,"0.00102"
"25","GO:0006364","rRNA processing",197,197,195.79,"0.00103"
"26","GO:0009617","response to bacterium",437,433,434.31,"0.00106"
"27","GO:0002523","leukocyte migration involved in inflammatory response",18,17,17.89,"0.00117"
"28","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I",9,9,8.94,"0.00123"
"29","GO:0043315","positive regulation of neutrophil degranulation",4,4,3.98,"0.00136"
"30","GO:0006911","phagocytosis, engulfment",70,69,69.57,"0.00156"
"31","GO:0051223","regulation of protein transport",470,468,467.11,"0.00163"
"32","GO:0002227","innate immune response in mucosa",15,14,14.91,"0.00165"
"33","GO:0042908","xenobiotic transport",20,20,19.88,"0.00170"
"34","GO:0006958","complement activation, classical pathway",32,32,31.8,"0.00170"
"35","GO:0031394","positive regulation of prostaglandin biosynthetic process",6,6,5.96,"0.00171"
"36","GO:0006306","DNA methylation",49,49,48.7,"0.00183"
"37","GO:0050870","positive regulation of T cell activation",163,161,162,"0.00185"
"38","GO:1902570","protein localization to nucleolus",13,13,12.92,"0.00196"
"39","GO:0071902","positive regulation of protein serine/threonine kinase activity",216,212,214.67,"0.00201"
